"area","tarea","estado","prioridad","owner","fecha_revision","evidencia","siguiente_paso"
"gobernanza","Restituir tracker fuente de verdad","cerrado","alta","VantaDB/Codex","2026-05-04","seguimiento de proyecto.csv creado desde deep-research-report.md","Mantener este CSV actualizado antes de cada fase"
"repo-alignment","Narrativa embedded persistent memory + vector retrieval + structured filters","cerrado","alta","VantaDB","2026-05-04","README, ARCHITECTURE, RELIABILITY_GATE, CHANGELOG","Evitar claims de hybrid search hasta BM25/RRF"
"memory-mvp-core","CRUD/search vectorial, namespaces, export/import y rebuild ANN","cerrado","alta","VantaDB","2026-05-04","memory_api, memory_export_import, memory_brutality","Usar como baseline estable"
"derived-indexes","Namespace/payload indexes persistentes, prefix scans y repair on open","cerrado","alta","VantaDB","2026-05-04","derived_indexes, derived_index_prefix_scan, derived_index_recovery, operational_metrics","Mantener source of truth en registros canonicos"
"text-index-phase-1","Indice invertido persistente derivado de payload canonico","cerrado","critica","VantaDB/Codex","2026-05-04","text_index unit tests, text_index_recovery, operational metrics","No exponer text_query hasta BM25/RRF"
"text-ranking","BM25 base sobre postings persistentes","cerrado","alta","VantaDB/Codex","2026-05-04","src/text_index.rs, benches/hybrid_queries.rs","Afinar hiperparametros BM25 si es necesario en el futuro"
"hybrid-planner","RRF y planner texto/vector/filtros","cerrado","alta","VantaDB/Codex","2026-05-04","src/sdk.rs, tests/memory_api.rs","Explorar planificador basado en costos a futuro"
"benchmarks","Euclidean/SIFT benchmark comparable","diferido","media","pendiente","2026-05-04","BENCHMARKS y RELIABILITY_GATE advierten limite cosine-only","Abordar despues de relevancia textual"
"distribucion","PyPI/wheels/signing","diferido","media","pendiente","2026-05-04","PYTHON_SDK documenta source-install only","Retomar cuando API publica este estable"
"producto","Decision formal sobre server wrapper","diferido","media","pendiente","2026-05-04","Reliability gate mantiene embedded-first","Decidir canal antes de nuevas promesas publicas"
