TYPE,CONTENT,DESCRIPTION,IS_COLLAPSED,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT,DEADLINE,DEADLINE_LANG
meta,view_style=list,,,,,,,,,,,,,
,,,,,,,,,,,,,,
section,VantaDB - Direccion y gobierno,,False,,,,,,,,,,,
task,* Bloque 1 - Definicion y alcance @Definicion @Gobierno @VantaDB,"Aqui viven las tareas que definen que es VantaDB, que promete, que entra al MVP y que queda fuera. Es el bloque de definicion del producto dentro del gobierno del proyecto.",,1,1,eros.messy (51896887),,,,America/Caracas,,,,
task,* Congelar alcance del MVP y no objetivos @Definicion @Producto @VantaDB,"Objetivo: cerrar el perimetro de la primera version para evitar expansion de alcance y deuda prematura. Debes dejar por escrito que entra, que sale, que se posterga y que condiciones habilitan la siguiente etapa. Como hacerlo: traducir los documentos estrategicos a una lista operativa de funcionalidades dentro del MVP, fuera del MVP y condiciones de salida. Notion: crear pagina 'VantaDB / Alcance del MVP y no objetivos' con bloques: dentro del MVP, fuera del MVP, riesgos de expansion, criterios de aceptacion, criterio de salida del MVP, dependencias y cambios prohibidos durante el ciclo. Depende de: definicion oficial y propuesta de valor. Desbloquea: priorizacion P0/P1, roadmap, backlog semanal y control de cambios. Referencias: PRD, Plan Maestro, Informe estrategico, todo.md.",,1,2,eros.messy (51896887),,16 Apr 2026,en,America/Caracas,,,,
task,Listar funcionalidades dentro del MVP de forma operativa @Definicion @Producto @VantaDB,"No hacer una lista vaga. Especificar capacidades, limites y ejemplo de uso por cada una.",,1,3,eros.messy (51896887),,16 Apr 2026,en,America/Caracas,,,,
task,Listar no objetivos y elementos explicitamente fuera del MVP @Definicion @Producto @VantaDB,"Incluir enterprise temprano, HA, multi tenancy real, RBAC completo, cloud managed y lenguaje de consulta ambicioso como centro del producto.",,1,3,eros.messy (51896887),,16 Apr 2026,en,America/Caracas,,,,
task,Definir criterio de salida del MVP con condiciones medibles @Definicion @Producto @QA @VantaDB,"Vincularlo a persistencia, recovery, namespaces, rebuild, SDK minimo y uso real sin infraestructura pesada.",,1,3,eros.messy (51896887),,16 Apr 2026,en,America/Caracas,,,,
task,Cruzar alcance del MVP contra backlog actual y eliminar contradicciones @P0 @Producto @VantaDB,Ajustar tareas que esten fuera de fase o prometan demasiado para el estado real del proyecto.,,1,3,eros.messy (51896887),,17 Apr 2026,en,America/Caracas,,,,
task,* Definir oficialmente que VantaDB es memoria persistente embebida con retrieval hibrido @Definicion @Producto @VantaDB,"Objetivo: convertir la tesis del proyecto en una definicion oficial que funcione como contrato de producto, arquitectura y comunicacion. Debes producir una version corta de 1 frase, una version expandida de 1 a 2 parrafos y una tabla de que es / que no es. Como hacerlo: sintetiza PRD, Plan Maestro, Informe estrategico y todo.md; elimina ambiguedades; fija usuario inicial, problema central, capacidad principal, limites de fase y consecuencias tecnicas. Notion: crear pagina 'VantaDB / Definicion oficial del producto' con bloques: resumen ejecutivo, definicion corta, definicion larga, problema que resuelve, usuario objetivo, capacidades incluidas, exclusiones, implicaciones tecnicas, decisiones aprobadas, referencias. Depende de: documentos fuente. Desbloquea: propuesta de valor, README, MVP, backlog y narrativa publica. Referencias: todo.md, PRD tecnico, Plan Maestro, Informe estrategico.",,1,2,eros.messy (51896887),,15 Apr 2026,en,America/Caracas,,,,
task,"Extraer y comparar definiciones candidatas desde PRD, Plan Maestro, Informe estrategico y todo.md @Definicion @Producto @VantaDB","Sintetizar las formulaciones existentes, detectar contradicciones y rescatar la formula mas coherente para la fase actual.",,1,3,eros.messy (51896887),,14 Apr 2026,en,America/Caracas,,,,
task,Redactar la definicion corta oficial en una sola frase @Definicion @Producto @VantaDB,"Debe servir para README, perfil del proyecto, presentacion y encabezado de Notion sin inflar el alcance.",,1,3,eros.messy (51896887),,15 Apr 2026,en,America/Caracas,,,,
task,Redactar la definicion expandida oficial en 1 o 2 parrafos @Definicion @Producto @VantaDB,"Debe explicar problema, usuario, capacidad principal, limites de fase e implicaciones tecnicas sin contradicciones.",,1,3,eros.messy (51896887),,15 Apr 2026,en,America/Caracas,,,,
task,Construir tabla 'que es' vs 'que no es' de VantaDB @Definicion @Producto @VantaDB,"Incluir expresamente que no es base universal temprana, no es enterprise inicial y no es server first.",,1,3,eros.messy (51896887),,15 Apr 2026,en,America/Caracas,,,,
task,* Alinear propuesta de valor inicial y claims que deben evitarse @Definicion @Producto @VantaDB,"Objetivo: fijar la promesa comercial correcta para esta etapa y eliminar mensajes que inflan el alcance. Debes definir la propuesta de valor inicial, el lenguaje aprobado y la lista de claims prohibidos. Como hacerlo: parte de la definicion oficial del producto, redacta una propuesta de valor orientada a developer, agent memory y local first, y crea una matriz de mensajes validos vs mensajes que deben evitarse. Notion: crear pagina 'VantaDB / Propuesta de valor y claims' con bloques: propuesta aprobada, claims permitidos, claims prohibidos, ejemplos para README, ejemplos para landing, tono tecnico y pruebas que respaldan cada claim. Depende de: definicion oficial del producto. Desbloquea: README, docs publicas, presentacion del proyecto y pitch tecnico. Referencias: PRD, Plan Maestro, Informe estrategico.",,1,2,eros.messy (51896887),,16 Apr 2026,en,America/Caracas,,,,
task,Redactar propuesta de valor inicial aprobada @Definicion @Producto @VantaDB,"Debe centrarse en memoria persistente embebida, retrieval hibrido, almacenamiento estructurado y baja friccion operativa.",,1,3,eros.messy (51896887),,16 Apr 2026,en,America/Caracas,,,,
task,Construir matriz de claims permitidos vs claims prohibidos @Definicion @Producto @VantaDB,Separar claramente lo que puede decirse hoy de lo que todavia seria hype o promesa prematura.,,1,3,eros.messy (51896887),,16 Apr 2026,en,America/Caracas,,,,
task,Validar consistencia de la propuesta de valor contra la definicion oficial y el MVP @Definicion @Producto @VantaDB,No aprobar mensajes que prometan capacidades fuera del alcance congelado.,,1,3,eros.messy (51896887),,16 Apr 2026,en,America/Caracas,,,,
task,* Bloque 2 - Principios y decisiones @Decision @Gobierno @VantaDB,"Aqui viven los principios rectores, decisiones no negociables y reglas estructurales que gobiernan arquitectura y producto. Es el bloque de gobierno estrategico.",,1,1,eros.messy (51896887),,,,America/Caracas,,,,
task,* Regla estructural del producto @Arquitectura @Decision @VantaDB,"Objetivo: fijar la frontera tecnica principal del sistema: el core embebido no depende del server; el server envuelve al core. Debes traducir esta regla a implicaciones de modulos, dependencias, empaquetado, testing y narrativa. Como hacerlo: revisar crates, dependencias y artefactos para identificar acoplamientos y definir la arquitectura objetivo. Notion: crear pagina 'VantaDB / Regla estructural core y server' con bloques: regla formal, razon, ejemplo correcto, ejemplo incorrecto, impacto en codigo, impacto en CI, impacto en Docker y plan de desacople. Depende de: decisiones estrategicas. Desbloquea: aislamiento del core, release engineering y modo server posterior.",,1,2,eros.messy (51896887),,18 Apr 2026,en,America/Caracas,,,,
task,"Mapear dependencias actuales entre core, server, SDK y despliegue @Arquitectura @Decision @VantaDB",Identificar donde hoy el core depende directa o indirectamente del modo servidor o de infraestructura externa.,,1,3,eros.messy (51896887),,18 Apr 2026,en,America/Caracas,,,,
task,Definir arquitectura objetivo donde el server envuelve al core @Arquitectura @Decision @VantaDB,"Especificar modulos, crates, limites de dependencia y que piezas deben quedar fuera del nucleo embebido.",,1,3,eros.messy (51896887),,18 Apr 2026,en,America/Caracas,,,,
task,Listar anti patrones que violan la regla estructural @Arquitectura @Decision @Riesgo @VantaDB,"Ejemplos: core dependiendo de Axum, Docker como requisito del producto base, sidecars de inferencia acoplados al camino principal.",,1,3,eros.messy (51896887),,18 Apr 2026,en,America/Caracas,,,,
task,Definir checklist para validar que un cambio respeta la regla estructural @Arquitectura @QA @VantaDB,Usarlo en revisiones tecnicas y de PR para evitar reintroducir acoplamiento al server.,,1,3,eros.messy (51896887),,18 Apr 2026,en,America/Caracas,,,,
task,* Fijar principios rectores del proyecto @Arquitectura @Decision @VantaDB,"Objetivo: establecer reglas de diseño y ejecucion que guien decisiones tecnicas, de producto y de priorizacion. Debes convertir los principios del proyecto en una lista accionable que sirva para aceptar o rechazar cambios. Como hacerlo: redacta principios claros, cada uno con significado operativo, criterio de evaluacion y ejemplo de aplicacion. Notion: crear pagina 'VantaDB / Principios rectores' con bloques: principio, interpretacion operativa, anti patron, impacto en arquitectura, impacto en producto, impacto en roadmap. Debe incluir: coherencia antes que demo, dato canonico separado de indices, embedded first, server como wrapper, benchmarks honestos y observabilidad confiable. Depende de: alcance del MVP. Desbloquea: decisiones tecnicas, revision de PRs y backlog.",,1,2,eros.messy (51896887),,17 Apr 2026,en,America/Caracas,,,,
